model,F1 (%),IoU (%),Precision (%),Recall (%),Accuracy (%),clDice (%),Topology precision (%),Topology sensitivity (%),Fragmentation Ratio,Skeleton-Length Error (%)
Attention U-Net + BCE+Dice,75.49453477865538,64.00223200576487,68.24667406859199,87.23252174333508,99.31945308107991,83.49195288306231,81.57772432309694,87.74108273758195,0.8155575410011252,29.44579364490804
U-Net++ + BCE+Dice,75.28474003441163,63.856321718295725,68.7203460885795,86.43519340738344,99.3304877850091,83.14348473327514,81.50980745818414,87.30487659223377,0.8229641550234801,31.57736856185489
Baseline U-Net,75.13474230476604,63.82808256961915,69.60152177777132,85.69459904185427,99.34567150007864,83.80238299034707,83.95279169206783,86.65729971313348,0.7882916431507554,51.40618784024012
DTAM + BCE+Dice,74.3764706627521,62.71528617982205,66.19855726331599,88.43388434560183,99.28355785899905,81.185944440668,76.37061724147803,89.87563699917122,0.9957318712419844,60.52907856162402
DeepLabV3+ + BCE+Dice,72.980159287361,61.20220470309843,67.11523499235545,83.05307352576925,99.28449182639228,81.51288651739662,81.66852781095946,83.6880444769015,0.7667554234881827,25.38813786227332
FPN + BCE+Dice,72.62353536797553,60.53359940056311,64.65349064134264,86.07645336395325,99.20364206274022,81.90687489525558,79.31540001432602,87.45844587365553,0.9215360407690714,47.00226265456281
SegNet + BCE+Dice,62.53309157006517,50.09960324706865,79.36382488715539,56.72273259265235,99.12148741924862,69.58976496630738,89.27720420148381,60.35980861472488,1.2620524499769072,39.78799164245638
